,Original_Labels_Color,Log_Reg Prediction,DTC Prediction,Weight,Colour_Predition_1000,Colour_Predition_25,Colour_Predition_50,Colour_Predition_100,Colour_Predition_150,BW_Predition_100,BW_Predition_1000,BW_Predition_25,BW_Predition_50,BW_Predition_150,Colour_Predition_Weight
110,0,2,2,5.48,0,2,0,0,0,4,4,4,4,4,0
111,0,2,2,5.36,0,0,2,2,0,0,0,0,0,0,0
112,0,2,0,6.38,0,0,0,0,0,0,0,0,0,0,0
113,0,2,2,5.2,0,0,0,0,0,0,0,0,0,0,0
114,0,2,2,4.64,0,0,0,4,0,0,0,4,0,4,0
115,0,2,2,5.68,0,0,0,0,0,0,0,4,0,0,0
116,0,2,0,4.82,0,0,0,0,0,0,0,0,0,0,0
117,0,2,4,4.18,0,0,0,0,0,0,2,2,2,2,0
118,0,2,0,5.24,0,0,0,0,0,0,0,0,0,4,0
119,0,2,2,4.04,0,2,0,2,0,0,0,2,0,0,0
120,0,2,4,3.62,0,0,0,0,0,0,0,0,0,0,0
121,0,2,2,3.58,0,2,2,0,2,0,2,2,0,2,0
122,0,2,4,3.78,0,2,0,0,0,0,0,0,0,0,0
123,0,2,2,4.2,0,2,0,0,0,0,0,2,0,0,0
124,0,2,0,6.62,0,0,0,0,0,0,0,0,0,0,0
125,0,2,4,6.56,0,0,0,0,0,0,0,2,0,0,0
126,0,4,4,6.7,0,0,0,0,0,0,0,0,0,0,0
127,0,2,0,6.0,0,0,0,0,0,0,0,0,0,0,0
128,0,4,4,6.62,0,0,2,0,0,0,0,0,2,2,0
129,0,2,2,6.3,0,0,0,0,0,0,2,0,0,0,0
130,0,4,0,6.36,0,0,0,0,0,0,0,0,0,0,0
131,0,4,2,6.22,0,0,0,0,0,0,4,0,0,0,0
132,0,4,0,6.2,0,0,0,0,0,0,0,0,0,0,0
133,0,4,2,6.8,2,0,0,0,0,2,0,0,2,0,0
134,0,4,2,6.8,0,0,0,0,0,0,0,0,0,0,0
135,0,4,0,6.36,0,0,0,0,0,0,0,0,0,0,0
136,0,2,4,6.36,0,0,0,0,0,0,0,0,0,0,0
137,0,2,4,6.04,0,0,0,0,0,2,2,2,2,2,0
138,0,4,2,6.28,0,0,0,0,0,0,0,0,4,0,0
139,0,4,2,6.3,0,0,0,0,0,0,0,0,0,0,0
140,0,2,4,7.04,0,0,0,0,0,0,0,0,0,0,0
141,0,4,0,6.14,0,0,0,0,0,0,0,0,0,0,0
142,0,2,2,4.84,0,0,0,0,0,0,0,0,0,0,0
143,0,4,2,6.0,0,0,0,0,0,0,0,0,0,0,0
144,0,2,2,4.74,0,0,0,0,0,0,0,0,0,0,0
145,0,4,0,6.02,0,0,0,0,0,0,0,0,0,0,0
146,0,2,2,5.48,0,0,0,0,0,2,2,2,0,2,0
147,0,2,2,5.28,0,0,0,0,0,0,0,0,0,0,0
148,0,4,0,6.08,0,0,0,0,0,0,0,0,0,0,0
149,0,2,2,6.08,0,0,2,0,2,0,0,2,0,0,0
150,0,4,0,6.26,0,0,0,0,0,0,0,0,0,0,0
151,0,2,0,5.78,0,0,0,0,0,0,0,0,0,0,0
152,0,2,0,6.12,0,0,0,0,0,0,0,0,0,0,0
153,0,4,4,6.44,0,0,0,0,0,0,2,0,2,0,0
154,0,2,0,6.18,0,0,0,0,0,0,0,2,0,0,0
155,0,2,2,5.94,2,0,2,2,0,0,0,0,0,0,0
156,0,4,0,6.28,0,0,0,0,0,0,0,0,0,0,0
157,0,4,0,6.44,0,0,0,0,0,0,0,0,0,0,0
158,0,2,0,5.44,0,0,0,0,0,0,0,0,0,0,0
159,0,2,0,6.26,0,0,0,0,0,0,0,2,0,0,0
160,0,4,2,6.34,0,0,0,0,0,0,0,0,0,0,0
161,0,4,0,6.0,0,0,0,0,0,0,0,0,0,0,0
162,0,4,4,6.24,2,2,2,2,2,0,0,0,2,2,2
163,0,2,2,6.22,0,0,0,2,0,2,2,2,2,2,0
164,0,2,2,5.56,0,0,0,0,0,0,0,0,0,0,0
165,0,2,2,5.22,0,0,0,0,0,0,0,2,2,0,0
166,0,4,4,6.46,0,0,0,0,0,0,0,0,0,0,0
167,0,2,2,5.42,0,0,0,0,0,0,0,0,0,0,0
168,0,2,0,5.5,0,0,0,0,0,0,0,0,0,0,0
169,0,2,2,5.1,0,0,0,0,0,0,0,2,0,0,0
170,0,2,0,5.28,0,0,0,0,0,0,0,0,0,0,0
171,0,2,0,5.28,0,0,0,0,0,0,0,0,0,0,0
172,0,4,4,5.96,0,0,0,0,0,0,0,0,0,0,0
173,0,4,2,5.42,0,0,0,0,0,0,0,0,0,0,0
174,0,2,0,6.34,0,0,0,0,0,0,0,0,0,0,0
175,0,2,0,5.2,0,0,2,0,0,0,0,0,2,0,0
176,0,0,0,5.34,0,0,2,0,2,0,0,0,0,0,0
177,0,4,4,6.16,0,0,0,0,0,0,0,4,4,0,0
178,0,2,2,4.94,0,2,0,0,0,0,0,0,0,0,0
179,0,2,0,5.38,0,0,0,0,0,0,0,0,0,0,0
180,0,4,0,5.92,0,0,0,0,0,0,0,0,0,0,0
181,0,2,0,5.84,0,0,0,0,0,0,0,0,0,0,0
182,0,2,0,6.26,0,0,0,0,0,0,0,0,0,0,0
183,0,2,2,6.44,0,0,0,0,0,0,0,0,0,0,0
184,0,2,2,6.46,0,0,0,0,0,0,0,0,0,0,0
185,0,2,0,6.24,0,0,0,0,0,0,0,0,0,0,0
186,0,2,0,6.38,0,0,0,0,0,0,0,0,0,0,0
187,0,4,0,6.44,0,0,2,0,0,0,2,2,2,0,0
188,0,2,2,6.2,0,2,3,2,0,0,3,0,2,4,0
189,0,4,0,6.14,0,0,2,0,0,0,0,4,0,0,0
190,0,4,0,6.46,0,0,0,0,0,0,0,0,0,0,0
191,0,4,0,6.3,0,0,0,0,0,0,4,4,4,0,0
192,0,2,2,4.94,0,0,0,0,0,0,4,4,0,4,0
193,0,2,2,5.34,0,0,0,0,0,0,0,0,0,0,0
194,0,4,2,4.88,0,0,0,0,0,0,0,0,0,0,0
195,0,2,4,3.5,0,0,0,0,0,0,0,2,0,0,0
196,0,2,2,5.62,0,0,0,0,0,0,0,0,0,0,0
197,0,2,0,5.38,0,0,0,0,0,0,0,4,0,4,0
198,0,2,0,5.06,0,0,0,0,0,0,0,0,0,0,0
199,0,2,2,5.2,0,0,0,0,0,0,0,0,0,0,0
200,0,2,2,5.36,0,0,0,0,0,0,0,0,0,0,0
201,0,4,0,6.14,0,0,0,0,0,0,0,4,0,0,0
202,0,4,2,6.64,0,0,0,0,0,0,0,2,0,0,0
203,0,2,4,6.3,0,0,0,0,0,0,0,0,0,0,0
204,0,4,0,6.08,0,4,4,0,0,0,0,0,2,2,0
205,0,4,2,6.08,0,0,0,0,0,0,0,0,0,0,0
206,0,4,0,6.02,0,0,0,0,0,0,0,0,0,0,0
207,0,2,0,6.02,2,2,2,2,0,2,2,2,2,2,0
208,0,4,4,6.76,0,0,0,0,0,0,0,0,0,0,0
209,0,2,4,6.68,0,0,0,0,0,0,0,0,0,0,0
210,0,2,2,5.32,0,0,0,0,0,0,0,0,0,0,0
211,0,2,0,6.48,0,0,0,0,0,0,0,0,0,0,0
212,0,4,2,5.26,0,3,0,0,0,0,0,0,0,0,0
213,0,2,0,5.64,0,0,0,0,0,0,0,0,0,0,0
214,0,2,0,5.06,0,0,0,0,0,0,0,0,2,0,0
215,0,2,2,4.78,0,0,0,0,0,0,0,0,0,0,0
216,0,2,2,5.22,0,0,0,0,0,0,0,0,0,0,0
217,0,2,2,4.9,0,0,0,0,0,0,0,0,0,0,0
218,0,4,4,6.46,0,0,0,0,0,0,0,0,0,0,0
219,0,4,0,6.46,0,0,0,0,0,0,0,0,0,0,0
220,0,2,0,4.46,0,0,0,0,0,0,0,0,0,0,0
221,0,4,2,6.48,2,0,0,2,2,0,2,2,0,2,0
222,0,4,0,5.2,0,0,0,0,0,0,0,0,0,0,0
223,0,4,0,6.22,0,0,0,0,0,0,0,0,0,0,0
224,0,4,4,6.46,2,0,0,0,2,0,0,0,0,0,0
225,0,2,0,6.46,0,0,0,0,0,0,0,0,0,0,0
226,0,2,2,6.3,0,0,0,0,0,2,2,2,0,0,0
227,0,4,0,6.46,0,0,0,0,0,0,0,0,0,0,0
228,0,2,0,6.04,0,0,0,0,0,0,0,0,0,0,0
229,0,4,2,5.36,0,0,0,0,0,0,0,0,0,0,0
230,0,2,2,6.14,0,0,2,0,0,0,2,2,2,2,0
231,0,4,0,5.54,0,0,0,0,0,0,0,0,0,4,0
232,0,2,4,5.24,0,2,2,0,2,0,2,0,0,0,2
233,0,2,0,6.44,0,0,0,0,0,0,0,2,0,0,0
234,0,4,0,5.82,0,0,0,0,0,0,0,0,0,0,0
235,0,2,4,6.46,2,0,0,0,0,0,0,0,0,0,0
236,0,2,0,6.06,2,2,2,2,2,2,2,2,2,2,2
237,0,2,2,5.06,0,0,0,0,0,0,0,0,0,0,0
238,0,2,2,6.36,2,0,0,0,2,2,2,2,2,2,2
239,0,2,2,5.28,0,0,0,0,0,2,2,2,0,0,0
240,0,2,2,5.78,0,0,2,0,0,0,0,0,0,0,0
241,0,2,2,6.48,0,2,2,2,2,0,0,0,0,2,0
242,0,2,0,5.58,0,0,0,0,0,0,0,0,0,2,0
243,0,2,2,5.68,0,0,2,0,2,0,0,0,0,0,0
244,0,2,0,5.76,0,0,0,0,0,2,0,0,2,0,0
245,0,2,0,5.7,0,0,0,0,0,0,0,0,0,0,0
246,0,2,0,5.86,0,0,0,0,0,0,0,0,0,0,0
247,0,4,2,6.46,0,2,0,0,0,0,4,0,0,0,0
248,0,4,2,5.18,0,0,0,0,0,0,0,0,0,0,0
249,0,4,4,5.7,0,0,0,0,0,0,0,0,0,0,0
250,0,2,0,6.4,0,0,0,0,0,0,0,0,0,0,0
251,0,2,2,5.42,0,0,0,0,0,0,0,2,0,0,0
252,0,2,2,4.64,0,0,0,0,0,0,4,0,0,2,0
253,0,4,4,6.48,0,0,0,0,0,0,0,0,0,0,0
254,0,2,2,5.64,0,0,0,0,0,0,0,0,0,0,0
255,0,4,4,5.54,0,0,0,0,0,0,0,0,0,0,0
256,0,4,2,6.06,0,0,0,0,0,0,0,0,0,0,0
257,0,2,2,6.46,0,2,0,0,0,0,2,2,2,0,0
258,0,2,2,5.56,0,0,0,0,0,0,0,0,0,0,0
259,0,4,4,6.34,0,0,0,0,0,0,0,0,0,0,0
260,0,2,2,5.38,0,0,0,0,0,0,0,0,0,0,0
261,0,4,0,6.26,0,0,0,0,0,0,0,2,0,0,0
262,0,2,4,6.38,0,0,0,0,0,0,0,0,0,0,0
263,0,4,0,6.38,0,0,0,0,0,0,0,0,0,0,0
264,0,2,0,5.76,0,0,0,0,0,0,0,0,0,0,0
265,0,2,4,6.4,2,0,0,0,4,0,0,0,0,0,4
266,0,2,4,6.38,0,0,0,0,0,0,0,0,0,0,0
267,0,4,0,6.42,0,0,0,0,0,0,0,0,0,0,0
268,0,4,4,6.34,0,0,0,0,0,0,0,0,0,0,0
269,0,4,2,6.42,0,0,0,0,0,0,0,0,0,0,0
270,0,2,0,5.82,0,0,0,0,0,0,0,0,0,0,0
271,0,2,2,4.68,0,0,0,0,0,0,0,0,0,0,0
272,0,4,4,6.04,0,0,0,0,0,0,4,0,4,0,0
273,0,4,0,6.18,0,0,0,0,0,0,0,0,0,0,0
274,0,4,4,6.7,0,0,0,0,0,0,0,0,0,0,0
275,0,4,4,6.14,0,0,0,0,0,0,0,0,0,0,0
276,0,4,2,6.1,2,2,0,0,0,0,0,2,0,0,0
277,0,4,2,6.6,0,0,0,0,0,0,0,0,0,0,0
278,0,4,4,6.14,0,0,0,0,0,0,0,0,0,0,0
279,0,4,4,6.74,0,0,0,0,0,0,0,0,0,0,0
280,0,4,4,7.14,0,0,0,0,0,0,0,0,2,0,0
281,0,2,0,6.46,0,0,0,0,0,0,2,2,2,0,0
282,0,4,2,6.32,0,0,0,0,0,0,0,0,0,0,0
283,0,4,4,7.64,0,0,0,0,0,0,0,0,0,0,0
284,0,4,4,5.94,0,0,0,0,0,2,2,2,2,0,0
285,0,4,0,6.08,0,0,0,0,0,0,0,0,0,0,0
286,0,4,4,7.94,0,0,0,0,0,0,0,0,0,0,0
287,0,2,0,6.16,0,0,0,0,0,0,0,0,0,0,0
288,0,2,4,6.3,0,0,0,0,0,0,0,0,0,0,0
289,0,2,0,6.14,0,0,0,0,0,0,0,0,0,4,0
290,0,4,0,7.4,0,0,0,0,0,0,0,2,0,0,0
291,0,4,2,7.34,0,0,0,0,0,0,0,0,0,0,0
292,0,2,0,5.72,0,0,0,0,0,0,0,0,0,0,0
293,0,4,0,8.1,0,0,0,0,0,0,0,0,0,0,0
294,0,2,2,6.1,0,0,0,0,0,0,0,0,0,0,0
295,0,4,4,7.94,0,0,0,0,0,2,2,2,0,0,0
296,0,2,0,5.74,0,0,0,0,0,0,0,0,0,0,0
297,0,4,0,6.26,0,0,0,0,0,0,2,2,2,2,0
298,0,2,0,5.82,0,0,0,0,0,0,0,2,0,0,0
299,0,4,0,5.56,4,4,0,0,4,0,0,0,0,0,0
300,0,2,4,7.38,0,0,0,0,0,0,0,0,0,0,0
301,0,2,2,5.68,0,0,0,0,0,0,0,0,0,0,0
302,0,2,0,8.1,0,0,0,0,0,0,0,0,0,0,0
303,0,2,0,5.72,0,0,0,0,0,0,0,0,0,0,0
304,0,2,2,6.2,0,0,0,0,0,0,2,2,0,2,0
305,0,2,0,6.3,0,0,0,0,0,0,0,0,0,0,0
306,0,4,0,7.74,0,0,0,0,0,0,0,0,4,0,0
307,0,4,4,7.2,0,0,0,0,0,0,0,0,0,0,0
308,0,2,0,7.58,0,0,0,0,0,0,0,0,0,0,0
309,0,4,4,8.06,0,0,0,0,0,0,0,0,0,0,0
310,0,4,0,5.26,0,0,0,0,0,0,0,0,0,0,0
311,0,4,4,7.8,0,0,0,0,0,0,0,0,0,0,0
312,0,4,0,7.9,0,0,0,0,0,0,0,0,0,0,0
313,0,4,0,8.76,0,0,0,0,0,0,0,0,0,0,0
314,0,4,4,7.38,0,0,0,0,0,0,0,0,0,0,0
315,0,4,0,6.08,0,0,0,0,0,0,0,0,0,0,0
316,0,2,2,5.22,0,0,0,0,0,0,0,0,0,0,0
317,0,4,0,7.86,0,0,0,0,0,0,0,0,0,0,0
318,0,2,0,6.4,0,0,0,0,0,0,0,0,0,0,0
319,0,2,2,5.0,0,0,0,0,0,0,0,0,0,0,0
320,0,4,0,5.72,0,0,0,0,0,0,0,0,0,0,0
321,0,4,0,6.34,0,0,0,0,0,0,0,0,0,0,0
322,0,4,0,5.92,0,0,0,0,0,0,0,0,0,0,0
323,0,2,0,5.84,0,0,0,0,0,2,0,0,0,2,0
324,0,4,0,5.16,0,0,0,0,0,0,0,0,0,0,0
325,0,2,2,6.38,0,0,0,0,0,0,0,2,0,0,0
326,0,4,0,5.66,0,0,0,0,0,0,0,0,0,0,0
327,0,4,2,8.72,0,0,0,0,0,0,0,0,0,0,0
328,0,2,0,6.26,0,0,0,0,0,0,0,0,0,0,0
329,0,4,4,7.76,0,0,0,0,0,0,0,0,0,0,0
330,0,4,0,7.8,0,0,0,0,0,0,0,0,0,0,0
331,0,4,4,7.78,0,0,0,0,0,0,0,0,0,0,0
332,0,4,0,6.22,0,0,0,0,0,2,2,0,2,2,0
333,0,4,0,7.88,0,0,0,0,0,0,0,0,0,0,0
334,0,4,0,7.38,0,0,0,0,0,0,0,2,0,0,0
335,0,2,0,5.48,0,0,0,0,0,0,2,0,2,0,0
336,0,4,1,7.54,0,0,0,0,0,0,0,0,0,0,0
337,0,4,0,7.66,0,0,0,0,0,0,0,0,0,0,0
338,0,4,0,5.7,0,0,0,0,0,0,0,0,0,0,0
339,0,4,4,6.26,0,0,0,0,0,0,0,0,0,0,0
340,0,4,0,6.1,0,0,0,0,0,0,0,0,0,0,0
341,0,4,0,5.58,0,0,0,0,0,0,0,0,0,0,0
342,0,2,0,6.38,0,0,0,0,0,0,0,2,0,0,0
343,0,4,4,5.58,0,0,0,0,2,0,0,0,0,0,0
344,0,4,0,6.24,0,0,0,0,0,0,0,0,0,0,0
345,0,4,2,7.34,0,0,0,0,0,0,0,0,0,0,0
346,0,4,1,7.68,0,0,0,0,0,0,0,0,0,0,0
347,0,4,0,6.12,0,0,0,0,0,0,0,0,0,0,0
348,0,4,4,7.96,0,0,0,0,0,0,0,0,0,0,0
349,0,4,0,5.8,0,0,0,0,0,0,0,0,0,0,0
350,0,4,4,8.38,0,0,0,0,0,0,0,0,0,0,0
351,0,4,0,6.06,0,0,0,0,0,0,0,0,0,0,0
352,0,4,0,5.72,0,0,0,0,0,0,0,0,0,0,0
353,0,2,4,6.06,0,0,0,0,0,0,0,0,0,0,0
354,0,4,0,6.06,0,0,0,0,0,0,0,2,0,0,0
355,0,4,0,5.58,0,0,0,0,0,0,0,0,0,0,0
356,0,2,0,6.26,0,0,0,0,0,0,0,2,0,0,0
357,0,2,0,5.64,0,0,0,0,0,0,2,2,0,0,0
358,0,4,4,6.04,0,0,0,0,0,0,0,0,0,0,0
359,0,2,4,5.68,0,0,0,0,0,0,0,0,0,0,0
360,0,2,0,6.22,0,0,0,0,0,0,0,0,0,0,0
361,0,2,0,5.66,0,0,0,0,0,0,0,0,0,0,0
362,0,4,0,6.34,0,0,0,0,0,0,0,0,0,0,0
363,0,2,0,7.88,0,0,0,0,0,0,2,0,0,0,0
364,0,4,0,5.08,0,0,0,0,0,0,0,0,0,2,0
365,0,4,4,9.16,0,0,0,0,0,0,4,0,4,4,0
366,0,4,4,8.24,0,0,0,0,0,0,0,0,0,0,0
367,0,4,4,7.36,0,0,0,0,0,0,0,0,0,0,0
368,0,4,4,6.1,0,0,0,0,0,0,0,0,0,0,0
369,0,2,2,6.3,0,0,0,0,0,0,0,0,0,0,0
370,0,4,0,5.82,0,0,0,0,0,2,2,2,0,0,0
371,0,4,4,7.5,0,0,0,0,0,0,2,0,0,0,0
372,0,4,0,6.22,0,0,0,0,0,0,0,0,0,0,0
373,0,4,4,8.6,0,0,0,0,0,0,0,0,0,0,0
374,0,4,4,7.6,0,0,0,0,0,0,0,0,0,0,0
375,0,4,0,7.54,0,0,0,0,0,0,0,0,0,0,0
376,0,4,4,7.72,0,0,0,0,0,0,0,0,0,0,0
377,0,4,4,7.94,0,0,0,0,0,0,2,0,0,0,0
378,0,4,0,7.46,0,0,0,0,0,0,2,2,0,0,0
379,0,4,0,5.48,0,0,0,0,0,0,0,0,0,0,0
380,0,2,2,6.12,0,0,0,0,0,0,2,0,0,0,0
381,0,4,4,6.32,0,0,0,0,0,2,2,0,0,2,0
382,0,4,0,6.08,0,0,0,0,0,0,0,0,0,0,0
383,0,4,0,5.78,0,0,0,0,0,0,0,0,0,0,0
384,0,4,0,7.54,0,0,0,0,0,2,0,2,2,2,0
385,0,4,4,8.48,0,0,0,0,0,0,0,0,0,0,0
386,0,4,0,5.72,0,0,0,0,0,0,0,0,0,0,0
387,0,4,0,7.6,0,0,0,0,0,0,0,0,0,0,0
388,0,4,0,7.5,0,0,0,0,0,0,0,0,0,0,0
389,0,2,0,6.4,0,0,0,0,0,0,0,0,0,0,0
390,0,4,4,8.4,0,0,0,0,0,0,0,0,0,0,0
391,0,2,0,5.52,0,0,0,0,0,0,0,0,0,0,0
392,0,4,4,8.86,0,0,0,0,0,0,0,0,0,0,0
393,0,2,0,6.26,0,0,0,0,0,0,0,0,0,0,0
394,0,2,0,5.08,0,0,0,0,0,0,0,0,0,0,0
395,0,4,0,5.32,0,0,0,0,0,0,0,0,0,0,0
396,0,2,2,5.0,0,0,0,0,0,0,0,0,0,0,0
397,0,4,4,8.74,0,0,0,0,0,4,4,4,4,4,0
398,0,4,0,7.42,0,0,0,0,0,0,0,0,0,0,0
399,0,4,0,7.6,0,0,0,0,0,0,0,0,0,0,0
400,0,4,4,5.72,0,0,0,0,0,0,0,0,2,2,0
401,0,4,0,8.08,0,0,0,0,0,0,0,0,0,0,0
402,0,4,4,6.14,0,0,0,0,0,0,0,0,0,0,0
