,FileName,ProductID,density,xmax,xmin,ymax,ymin,xmaxY,xminY,ymaxX,yminX,outFile,Weight
26,1500285744.jpg,20001,38525517,544,68,531,65,332,330,300,350,1500285744.jpg,6.04
27,1500285786.jpg,20001,38584689,508,20,487,24,272,174,294,304,1500285786.jpg,6.48
28,1500285953.jpg,20001,33835267,471,53,465,36,234,184,196,176,1500285953.jpg,5.56
29,1500286134.jpg,20001,36897310,574,98,552,52,315,340,345,198,1500286134.jpg,6.46
30,1500286146.jpg,20001,31660007,486,96,482,63,308,321,198,295,1500286146.jpg,5.24
31,1500286245.jpg,20001,31786763,466,71,523,86,107,236,233,276,1500286245.jpg,5.54
32,1500287739.jpg,20001,27910588,539,40,454,81,287,265,315,295,1500287739.jpg,4.96
33,1500288810.jpg,20001,37948129,602,51,415,19,280,311,185,348,1500288810.jpg,5.98
34,1500288877.jpg,20001,27380849,555,35,376,33,327,241,132,333,1500288877.jpg,4.18
35,1500296728.jpg,20001,37880747,648,52,478,104,417,295,274,416,1500296728.jpg,6.3
36,1500359408.jpg,20001,28685265,442,4,374,4,160,185,152,218,1500359408.jpg,4.12
37,1500363800.jpg,20001,48896384,698,40,563,120,406,309,422,248,1500363800.jpg,9.16
38,1500372251.jpg,20001,50113804,760,118,657,227,448,344,383,397,1500372251.jpg,8.7
39,1500372320.jpg,20001,48200192,622,23,472,68,127,334,109,384,1500372320.jpg,8.44
40,1500376470.jpg,20001,43369739,562,6,434,2,403,179,520,476,1500376470.jpg,6.08
41,1500377408.jpg,20001,46269433,609,27,499,75,459,210,350,110,1500377408.jpg,7.36
42,1500381912.jpg,20001,32025804,480,6,535,86,193,394,191,355,1500381912.jpg,5
43,1500381925.jpg,20001,37470811,602,5,419,95,170,352,391,418,1500381925.jpg,5.62
44,1500528589.jpg,20001,42408189,586,16,436,40,263,183,117,322,1500528589.jpg,7.2
45,1500540866.jpg,20001,35486559,657,11,487,145,350,329,315,347,1500540866.jpg,5.78
46,1500540886.jpg,20001,38991798,569,165,614,32,454,226,368,278,1500540886.jpg,5.78
47,1500540941.jpg,20001,39092822,615,29,470,73,387,203,451,262,1500540941.jpg,6.04
48,1500540951.jpg,20001,34285292,685,13,491,160,379,287,205,257,1500540951.jpg,5.36
49,1500541028.jpg,20001,33460103,631,16,516,172,335,280,341,396,1500541028.jpg,5.08
50,1500541040.jpg,20001,36169629,601,23,434,69,271,231,258,328,1500541040.jpg,5.56
51,1500541079.jpg,20001,32298174,614,32,496,150,424,285,331,370,1500541079.jpg,5.38
52,1500541124.jpg,20001,39687017,562,6,463,56,220,115,448,165,1500541124.jpg,6.78
53,1500541449.jpg,20001,36397598,606,40,440,102,313,291,205,356,1500541449.jpg,5.72
54,1500541556.jpg,20001,34318553,596,42,472,109,324,217,349,428,1500541556.jpg,5.66
55,1500541681.jpg,20001,35561740,744,44,571,208,431,300,321,281,1500541681.jpg,6.04
56,1500541728.jpg,20001,41893246,643,33,577,167,332,420,307,507,1500541728.jpg,6.06
57,1500541769.jpg,20001,33534629,622,29,436,84,300,262,408,455,1500541769.jpg,5.64
58,1500541879.jpg,20001,32442914,597,114,505,75,300,181,451,280,1500541879.jpg,5.96
59,1500542059.jpg,20001,31947048,564,15,484,128,362,223,356,308,1500542059.jpg,6.38
60,1500542574.jpg,20001,36763266,587,27,461,97,342,246,215,402,1500542574.jpg,6.02
61,1500543642.jpg,20001,31449979,577,58,508,59,302,228,449,202,1500543642.jpg,6
62,1500543710.jpg,20001,32362325,596,45,478,116,390,300,396,335,1500543710.jpg,6.7
63,1500543782.jpg,20001,36914008,541,6,395,25,114,116,153,323,1500543782.jpg,6.18
64,1500543873.jpg,20001,35311149,596,13,543,213,277,430,282,358,1500543873.jpg,6.28
65,1500543939.jpg,20001,35368958,557,8,362,10,90,235,268,158,1500543939.jpg,6.46
66,1500544105.jpg,20001,34693083,585,24,441,83,244,255,108,428,1500544105.jpg,6
67,1500544816.jpg,20001,36032454,604,44,521,135,308,275,415,264,1500544816.jpg,6.16
68,1500545380.jpg,20001,36638597,556,110,558,136,317,232,403,207,1500545380.jpg,5.74
69,1500545498.jpg,20001,33677978,550,55,474,22,296,175,465,94,1500545498.jpg,5.7
70,1500545599.jpg,20001,39819608,596,9,496,108,322,186,444,204,1500545599.jpg,6.08
71,1500545884.jpg,20001,30559612,567,22,438,91,197,246,174,325,1500545884.jpg,5.74
72,1500548970.jpg,20001,33268570,591,17,487,145,294,330,231,321,1500548970.jpg,4.72
73,1500549603.jpg,20001,30238842,552,10,444,102,194,185,178,267,1500549603.jpg,5.28
74,1500549892.jpg,20001,35816104,559,2,375,8,97,96,293,142,1500549892.jpg,5.44
75,1500550404.jpg,20001,28344901,608,43,440,80,118,261,304,106,1500550404.jpg,3.9
76,1500550453.jpg,20001,33050539,527,66,504,102,247,291,299,325,1500550453.jpg,5.4
77,1500552963.jpg,20001,31338814,627,31,453,130,324,296,201,225,1500552963.jpg,4.38
78,1500555287.jpg,20001,41956074,690,14,552,172,348,346,270,397,1500555287.jpg,6.12
79,1500555293.jpg,20001,33873420,624,8,489,166,413,302,276,375,1500555293.jpg,5.58
80,1500555361.jpg,20001,34600251,510,7,359,8,209,192,249,260,1500555361.jpg,6.56
81,1500555372.jpg,20001,32748132,603,29,489,116,343,284,262,250,1500555372.jpg,6.44
82,1500555406.jpg,20001,31904315,548,18,458,95,278,276,167,253,1500555406.jpg,4.8
83,1500555430.jpg,20001,34412117,680,7,505,144,385,262,167,411,1500555430.jpg,6.06
84,1500555596.jpg,20001,41477740,589,47,498,70,250,256,426,369,1500555596.jpg,6.5
85,1500555612.jpg,20001,30689219,561,28,503,156,368,323,200,388,1500555612.jpg,5.12
86,1500555659.jpg,20001,32096426,585,9,449,135,328,204,136,221,1500555659.jpg,5.76
87,1500555720.jpg,20001,33024926,547,3,324,19,70,66,218,145,1500555720.jpg,5.38
88,1500555721.jpg,20001,33024926,547,3,324,19,70,66,218,145,1500555721.jpg,
89,1500556011.jpg,20001,36582886,582,35,454,77,275,382,362,405,1500556011.jpg,5.42
90,1500556238.jpg,20001,29589103,482,8,334,17,138,114,180,334,1500556238.jpg,4.44
91,1500556316.jpg,20001,33279967,507,3,350,6,97,134,106,204,1500556316.jpg,5.42
92,1500556406.jpg,20001,39086540,550,18,428,0,86,6,170,25,1500556406.jpg,5.82
93,1500556648.jpg,20001,34212835,641,15,432,73,344,232,269,325,1500556648.jpg,4.54
94,1500556827.jpg,20001,39163918,621,26,523,145,371,297,265,469,1500556827.jpg,6.04
95,1500556834.jpg,20001,35926850,546,45,478,35,224,300,132,426,1500556834.jpg,5.82
96,1500556905.jpg,20001,33768802,599,78,479,61,297,201,444,223,1500556905.jpg,5.88
97,1500557179.jpg,20001,35631396,621,16,469,89,282,239,201,322,1500557179.jpg,5.04
98,1500557261.jpg,20001,35288308,649,10,473,119,335,242,264,343,1500557261.jpg,5.52
99,1500557311.jpg,20001,37122081,603,38,576,174,310,387,215,514,1500557311.jpg,5.76
100,1500557399.jpg,20001,30591938,511,6,354,20,81,239,307,303,1500557399.jpg,5.24
101,1500557537.jpg,20001,35003538,504,2,372,4,175,93,311,223,1500557537.jpg,5.44
102,1500557624.jpg,20001,34844105,602,69,555,129,264,357,193,491,1500557624.jpg,6.02
103,1500558152.jpg,20001,33871312,548,46,493,9,336,111,423,73,1500558152.jpg,5.64
104,1500558162.jpg,20001,31661435,570,43,529,15,299,268,404,173,1500558162.jpg,6.2
105,1500558463.jpg,20001,32618619,562,62,476,63,303,243,484,276,1500558463.jpg,5.74
106,1500559595.jpg,20001,26091875,535,33,382,93,328,256,305,304,1500559595.jpg,3.7
107,1500560514.jpg,20001,42125386,594,32,447,35,253,281,594,334,1500560514.jpg,6.62
108,1500562303.jpg,20001,31904010,568,22,467,155,286,191,263,323,1500562303.jpg,4.76
109,1500564741.jpg,20001,34616433,567,65,553,140,373,204,426,138,1500564741.jpg,4.22
110,1500973455.jpg,20001,31242705,580,21,454,116,307,252,273,403,1500973455.jpg,4.86
111,1500973767.jpg,20001,30653364,616,39,448,92,376,289,462,343,1500973767.jpg,5.48
112,1500977567.jpg,20001,31010027,589,2,428,100,257,318,195,256,1500977567.jpg,5.36
113,1500977674.jpg,20001,40269646,601,26,487,64,291,321,275,186,1500977674.jpg,6.38
114,1500978171.jpg,20001,31760910,524,6,363,11,210,286,213,86,1500978171.jpg,5.2
115,1500978671.jpg,20001,19863560,543,40,435,125,421,210,518,225,1500978671.jpg,4.64
116,1500981789.jpg,20001,27280694,583,60,451,97,378,313,455,322,1500981789.jpg,5.68
117,1500981831.jpg,20001,28542013,443,15,390,5,231,262,351,69,1500981831.jpg,4.82
118,1500987765.jpg,20001,29981348,457,15,408,31,330,149,336,169,1500987765.jpg,4.18
119,1500990864.jpg,20001,30970860,494,6,379,8,239,288,262,111,1500990864.jpg,5.24
120,1501045938.jpg,20001,25474970,593,44,371,110,305,323,241,402,1501045938.jpg,4.04
121,1501046004.jpg,20001,25898021,484,8,344,56,178,252,351,242,1501046004.jpg,3.62
122,1501046097.jpg,20001,29266152,508,31,490,81,168,379,93,355,1501046097.jpg,3.58
123,1501046138.jpg,20001,30860150,476,3,314,6,220,175,206,217,1501046138.jpg,3.78
124,1501046177.jpg,20001,30348275,594,8,437,146,305,330,195,405,1501046177.jpg,4.2
125,1501046746.jpg,20001,38264134,660,27,448,98,304,345,356,390,1501046746.jpg,6.62
126,1501046929.jpg,20001,39227105,562,3,535,85,143,502,71,413,1501046929.jpg,6.56
127,1501047132.jpg,20001,41120100,651,33,480,99,376,299,420,362,1501047132.jpg,6.7
128,1501047169.jpg,20001,34844936,487,19,438,5,248,286,348,79,1501047169.jpg,6
129,1501047216.jpg,20001,34898865,573,12,422,9,249,286,289,149,1501047216.jpg,6.62
130,1501047227.jpg,20001,33646099,469,41,507,3,325,265,378,153,1501047227.jpg,6.3
131,1501047300.jpg,20001,33951501,487,10,373,33,182,295,236,70,1501047300.jpg,6.36
132,1501047319.jpg,20001,32977240,567,21,483,114,393,199,402,221,1501047319.jpg,6.22
133,1501047512.jpg,20001,35922447,499,2,358,4,180,289,220,90,1501047512.jpg,6.2
134,1501047584.jpg,20001,39374059,539,12,477,23,458,140,510,272,1501047584.jpg,6.8
135,1501047645.jpg,20001,38706924,561,18,455,46,236,317,261,116,1501047645.jpg,6.8
136,1501047745.jpg,20001,37151723,494,3,399,5,211,236,396,203,1501047745.jpg,6.36
137,1501047776.jpg,20001,38489361,648,44,468,92,322,288,127,407,1501047776.jpg,6.36
138,1501048368.jpg,20001,36467121,560,77,465,29,262,281,156,429,1501048368.jpg,6.04
139,1501048434.jpg,20001,38979064,575,76,498,59,463,178,139,238,1501048434.jpg,6.28
140,1501048647.jpg,20001,40582548,571,22,556,103,476,147,202,124,1501048647.jpg,6.3
141,1501048718.jpg,20001,39987900,666,59,524,105,403,324,298,389,1501048718.jpg,7.04
142,1501048852.jpg,20001,35910741,519,28,483,13,363,217,305,378,1501048852.jpg,6.14
143,1501050291.jpg,20001,28977909,446,37,420,33,346,145,318,239,1501050291.jpg,4.84
144,1501050368.jpg,20001,32038710,361,0,451,2,72,139,164,190,1501050368.jpg,6
145,1501050452.jpg,20001,30410884,381,7,422,6,354,113,279,245,1501050452.jpg,4.74
146,1501050518.jpg,20001,31081237,362,1,424,0,267,73,179,181,1501050518.jpg,6.02
147,1501050597.jpg,20001,29082908,346,11,466,11,249,369,197,143,1501050597.jpg,5.48
148,1501050649.jpg,20001,28120043,423,44,488,65,200,273,251,233,1501050649.jpg,5.28
149,1501050725.jpg,20001,30908043,386,12,451,20,345,135,255,167,1501050725.jpg,6.08
150,1501050821.jpg,20001,30549433,420,19,472,32,185,356,194,233,1501050821.jpg,6.08
151,1501050851.jpg,20001,36310211,498,38,470,32,341,111,115,270,1501050851.jpg,6.26
152,1501050886.jpg,20001,28131905,429,48,427,36,318,213,267,313,1501050886.jpg,5.78
153,1501050896.jpg,20001,32189397,449,17,491,37,260,316,292,239,1501050896.jpg,6.12
154,1501050924.jpg,20001,31071243,397,25,462,24,377,171,302,203,1501050924.jpg,6.44
155,1501050980.jpg,20001,34067988,467,33,495,52,336,338,237,267,1501050980.jpg,6.18
156,1501051059.jpg,20001,30462729,405,34,467,34,326,225,247,271,1501051059.jpg,5.94
157,1501051107.jpg,20001,35548504,432,8,457,10,368,161,225,184,1501051107.jpg,6.28
158,1501051116.jpg,20001,34099935,458,25,500,56,165,320,238,253,1501051116.jpg,6.44
159,1501051147.jpg,20001,32168678,478,53,498,57,327,216,295,329,1501051147.jpg,5.44
160,1501051160.jpg,20001,32084244,425,38,485,22,309,317,173,275,1501051160.jpg,6.26
161,1501051193.jpg,20001,31228953,373,5,419,5,197,240,157,163,1501051193.jpg,6.34
162,1501051206.jpg,20001,36600478,421,7,444,11,269,30,239,191,1501051206.jpg,6
163,1501051262.jpg,20001,33842850,542,118,517,43,333,178,191,365,1501051262.jpg,6.24
164,1501051276.jpg,20001,33815778,431,20,516,52,206,386,279,252,1501051276.jpg,6.22
165,1501051318.jpg,20001,33615041,461,61,496,32,373,427,273,198,1501051318.jpg,5.56
166,1501051405.jpg,20001,33080631,503,82,514,105,196,305,342,309,1501051405.jpg,5.22
167,1501051525.jpg,20001,37801601,538,12,455,29,289,155,290,354,1501051525.jpg,6.46
168,1501051632.jpg,20001,31079905,441,46,486,61,204,278,192,224,1501051632.jpg,5.42
169,1501051709.jpg,20001,32927006,433,23,485,44,312,333,293,264,1501051709.jpg,5.5
170,1501052739.jpg,20001,31435758,454,42,478,51,334,306,300,281,1501052739.jpg,5.1
171,1501052796.jpg,20001,32027269,389,15,435,15,320,171,236,173,1501052796.jpg,5.28
172,1501052828.jpg,20001,33982676,460,52,519,69,217,237,314,223,1501052828.jpg,5.28
173,1501052872.jpg,20001,35171691,500,50,488,41,318,223,335,374,1501052872.jpg,5.96
174,1501052925.jpg,20001,33806211,444,15,428,20,46,273,198,207,1501052925.jpg,5.42
175,1501053170.jpg,20001,35822478,523,90,520,83,316,262,227,302,1501053170.jpg,6.34
176,1501053322.jpg,20001,28240298,329,4,416,1,313,188,215,216,1501053322.jpg,5.2
177,1501053391.jpg,20001,27194348,358,11,430,26,365,111,137,132,1501053391.jpg,5.34
178,1501053398.jpg,20001,36508132,500,30,477,47,289,107,298,347,1501053398.jpg,6.16
179,1501053414.jpg,20001,26445801,404,16,456,43,383,321,229,302,1501053414.jpg,4.94
180,1501053445.jpg,20001,30640414,439,39,477,44,287,279,209,259,1501053445.jpg,5.38
181,1501053786.jpg,20001,32664695,401,10,445,20,320,135,204,149,1501053786.jpg,5.92
182,1501054449.jpg,20001,33470910,485,39,475,72,287,294,207,254,1501054449.jpg,5.84
183,1501055099.jpg,20001,37791474,447,7,448,13,269,325,184,218,1501055099.jpg,6.26
184,1501056217.jpg,20001,30486388,400,17,435,26,199,317,108,163,1501056217.jpg,6.44
185,1501056306.jpg,20001,20544474,317,1,406,10,243,358,213,110,1501056306.jpg,6.46
186,1501056584.jpg,20001,36528093,496,49,537,82,242,305,274,238,1501056584.jpg,6.24
187,1501056772.jpg,20001,35666875,500,61,493,47,261,291,239,252,1501056772.jpg,6.38
188,1501057137.jpg,20001,34977007,370,3,465,2,382,119,218,225,1501057137.jpg,6.44
189,1501057307.jpg,20001,20840150,360,2,415,14,372,241,226,176,1501057307.jpg,6.2
190,1501059896.jpg,20001,31866760,439,8,439,2,400,141,282,371,1501059896.jpg,6.14
191,1501059914.jpg,20001,38337278,545,113,606,107,277,232,356,331,1501059914.jpg,6.46
192,1501064888.jpg,20001,34218249,499,20,437,26,380,193,313,139,1501064888.jpg,6.3
193,1501064898.jpg,20001,29860414,509,35,376,18,312,182,270,348,1501064898.jpg,4.94
194,1501065095.jpg,20001,31118825,575,67,448,102,401,212,286,287,1501065095.jpg,5.34
195,1501065135.jpg,20001,31847113,508,15,384,25,354,141,362,236,1501065135.jpg,4.88
196,1501065236.jpg,20001,28310294,478,15,364,17,218,223,246,159,1501065236.jpg,3.5
197,1501065577.jpg,20001,35500102,580,41,474,84,370,224,256,381,1501065577.jpg,5.62
198,1501065613.jpg,20001,30096318,478,12,399,9,249,249,168,82,1501065613.jpg,5.38
199,1501066469.jpg,20001,31620137,422,10,414,21,280,312,199,184,1501066469.jpg,5.06
200,1501072183.jpg,20001,30388669,431,13,443,23,218,327,336,149,1501072183.jpg,5.2
201,1501072285.jpg,20001,29959305,415,9,416,28,175,350,113,218,1501072285.jpg,5.36
202,1501072788.jpg,20001,29042891,398,9,450,28,396,101,278,190,1501072788.jpg,6.14
203,1501073001.jpg,20001,32128733,436,24,503,24,375,198,301,225,1501073001.jpg,6.64
204,1501132522.jpg,20001,37345271,669,42,492,129,434,281,439,216,1501132522.jpg,6.3
205,1501132701.jpg,20001,37508446,537,6,396,0,198,263,295,24,1501132701.jpg,6.08
206,1501132767.jpg,20001,35225152,537,4,369,13,196,297,218,156,1501132767.jpg,6.08
207,1501132787.jpg,20001,35150272,532,1,356,19,337,70,357,212,1501132787.jpg,6.02
208,1501132827.jpg,20001,27209378,465,13,405,10,270,284,273,120,1501132827.jpg,6.02
209,1501132988.jpg,20001,42467163,546,6,414,8,346,126,342,361,1501132988.jpg,6.76
210,1501133214.jpg,20001,39259320,528,12,442,6,329,328,234,82,1501133214.jpg,6.68
211,1501133578.jpg,20001,31938840,418,8,443,20,248,363,276,203,1501133578.jpg,5.32
212,1501134004.jpg,20001,35090330,484,54,473,35,383,269,384,278,1501134004.jpg,6.48
213,1501134678.jpg,20001,12116325,227,1,338,0,0,126,219,160,1501134678.jpg,5.26
214,1501134726.jpg,20001,33445065,437,26,454,37,335,187,246,175,1501134726.jpg,5.64
215,1501134816.jpg,20001,25405526,459,62,400,34,258,241,261,307,1501134816.jpg,5.06
216,1501134839.jpg,20001,28837224,396,14,418,9,334,216,274,232,1501134839.jpg,4.78
217,1501134892.jpg,20001,27447775,337,3,440,6,233,320,173,200,1501134892.jpg,5.22
218,1501135047.jpg,20001,32362769,481,12,441,46,326,340,222,259,1501135047.jpg,4.9
219,1501135115.jpg,20001,36095941,472,15,468,32,254,160,233,200,1501135115.jpg,6.46
220,1501135136.jpg,20001,42929914,543,14,479,15,253,248,288,249,1501135136.jpg,6.46
221,1501135179.jpg,20001,30657609,412,34,446,32,247,237,243,160,1501135179.jpg,4.46
222,1501135204.jpg,20001,25614565,396,2,451,31,137,272,219,250,1501135204.jpg,6.48
223,1501135334.jpg,20001,32574729,483,34,438,39,173,244,259,257,1501135334.jpg,5.2
224,1501135427.jpg,20001,38212749,542,37,424,10,374,70,283,238,1501135427.jpg,6.22
225,1501135497.jpg,20001,42322644,528,1,438,1,221,211,152,174,1501135497.jpg,6.46
226,1501135507.jpg,20001,35882820,480,24,516,63,322,336,307,277,1501135507.jpg,6.46
227,1501135604.jpg,20001,35891434,430,9,458,23,211,379,121,175,1501135604.jpg,6.3
228,1501135849.jpg,20001,28960860,361,15,450,13,363,179,106,176,1501135849.jpg,6.46
229,1501135938.jpg,20001,36196805,464,17,465,35,302,347,141,264,1501135938.jpg,6.04
230,1501135990.jpg,20001,31084286,340,2,423,1,212,122,143,117,1501135990.jpg,5.36
231,1501136070.jpg,20001,30470873,355,8,464,3,373,232,238,229,1501136070.jpg,6.14
232,1501136087.jpg,20001,32543398,404,9,446,7,298,182,243,221,1501136087.jpg,5.54
233,1501136171.jpg,20001,26117164,401,33,406,4,369,151,303,310,1501136171.jpg,5.24
234,1501136285.jpg,20001,33478680,451,18,542,39,278,297,263,237,1501136285.jpg,6.44
235,1501136396.jpg,20001,38127392,548,73,501,45,301,210,263,379,1501136396.jpg,5.82
236,1501136416.jpg,20001,41165286,549,57,511,70,360,278,291,228,1501136416.jpg,6.46
237,1501136503.jpg,20001,32152434,406,25,452,5,416,141,64,310,1501136503.jpg,6.06
238,1501136944.jpg,20001,29030800,350,2,417,4,239,345,83,111,1501136944.jpg,5.06
239,1501136973.jpg,20001,35869652,409,7,483,18,265,422,116,161,1501136973.jpg,6.36
240,1501137040.jpg,20001,31189873,428,26,452,60,153,306,174,256,1501137040.jpg,5.28
241,1501137241.jpg,20001,33112019,429,18,435,19,220,315,165,125,1501137241.jpg,5.78
242,1501137274.jpg,20001,32792952,384,26,477,20,422,216,266,150,1501137274.jpg,6.48
243,1501138014.jpg,20001,34634278,491,15,439,19,253,298,263,175,1501138014.jpg,5.58
244,1501138076.jpg,20001,38862705,544,46,527,18,499,304,310,404,1501138076.jpg,5.68
245,1501138116.jpg,20001,36484434,496,9,411,4,239,305,260,80,1501138116.jpg,5.76
246,1501138189.jpg,20001,34792557,509,15,445,42,225,326,252,149,1501138189.jpg,5.7
247,1501138224.jpg,20001,34288995,483,7,410,17,311,310,318,70,1501138224.jpg,5.86
248,1501138597.jpg,20001,40878169,563,53,548,79,469,128,410,174,1501138597.jpg,6.46
249,1501138637.jpg,20001,33633987,527,5,419,39,376,103,417,259,1501138637.jpg,5.18
250,1501138648.jpg,20001,32987465,497,7,388,30,367,98,411,146,1501138648.jpg,5.7
251,1501138716.jpg,20001,35057558,488,6,391,2,215,303,200,53,1501138716.jpg,6.4
252,1501138791.jpg,20001,31571409,577,55,445,77,254,297,276,427,1501138791.jpg,5.42
253,1501139495.jpg,20001,31725788,495,3,387,2,272,237,383,87,1501139495.jpg,4.64
254,1501140266.jpg,20001,39686544,628,25,478,85,343,289,296,420,1501140266.jpg,6.48
255,1501140526.jpg,20001,36538785,576,29,476,72,359,221,316,295,1501140526.jpg,5.64
256,1501140665.jpg,20001,33320478,486,15,402,26,357,131,336,281,1501140665.jpg,5.54
257,1501141838.jpg,20001,39082975,562,19,429,42,390,173,396,272,1501141838.jpg,6.06
258,1501142483.jpg,20001,41349111,416,20,570,11,450,215,184,250,1501142483.jpg,6.46
259,1501142954.jpg,20001,36195761,466,28,481,12,401,278,371,100,1501142954.jpg,5.56
260,1501142963.jpg,20001,39670204,589,48,480,73,374,229,246,412,1501142963.jpg,6.34
261,1501143033.jpg,20001,36528133,629,34,482,135,382,271,417,301,1501143033.jpg,5.38
262,1501145362.jpg,20001,36912640,488,3,396,12,81,274,171,257,1501145362.jpg,6.26
263,1501145554.jpg,20001,41183297,627,3,499,81,334,314,479,334,1501145554.jpg,6.38
264,1501145643.jpg,20001,39580339,490,4,409,6,109,279,128,132,1501145643.jpg,6.38
265,1501145727.jpg,20001,34349651,468,3,370,4,276,285,232,75,1501145727.jpg,5.76
266,1501145817.jpg,20001,36718346,634,77,471,84,330,317,132,450,1501145817.jpg,6.4
267,1501146533.jpg,20001,38213249,633,53,481,82,298,305,134,447,1501146533.jpg,6.38
268,1501146576.jpg,20001,34130804,539,12,412,22,269,294,379,102,1501146576.jpg,6.42
269,1501146637.jpg,20001,39903777,622,23,482,121,300,280,408,432,1501146637.jpg,6.34
270,1501146780.jpg,20001,40384801,598,12,513,78,469,188,526,237,1501146780.jpg,6.42
271,1501146879.jpg,20001,34200524,476,16,434,22,270,313,233,124,1501146879.jpg,5.82
272,1501149379.jpg,20001,28531463,520,98,449,48,347,333,304,272,1501149379.jpg,4.68
273,1501218730.jpg,20001,35047499,522,6,366,24,232,104,343,194,1501218730.jpg,6.04
274,1501218893.jpg,20001,37719592,576,2,440,77,308,146,373,296,1501218893.jpg,6.18
275,1501218901.jpg,20001,37918425,608,3,467,91,288,265,281,367,1501218901.jpg,6.7
276,1501218955.jpg,20001,37159250,509,2,380,4,310,92,368,252,1501218955.jpg,6.14
277,1501219090.jpg,20001,38595332,558,10,426,62,101,324,236,422,1501219090.jpg,6.1
278,1501219174.jpg,20001,41129826,602,15,460,86,187,343,326,287,1501219174.jpg,6.6
279,1501219319.jpg,20001,38192637,536,7,387,34,158,305,179,187,1501219319.jpg,6.14
280,1501219511.jpg,20001,40225946,529,6,394,24,179,315,162,222,1501219511.jpg,6.74
281,1501219666.jpg,20001,33402076,556,7,361,29,206,295,202,186,1501219666.jpg,7.14
282,1501219945.jpg,20001,34965906,431,9,467,18,297,326,195,260,1501219945.jpg,6.46
283,1501220122.jpg,20001,33893321,407,6,445,3,244,227,226,243,1501220122.jpg,6.32
284,1501220198.jpg,20001,43988408,533,24,512,35,241,222,325,392,1501220198.jpg,7.64
285,1501220324.jpg,20001,37023294,481,2,453,1,220,181,175,178,1501220324.jpg,5.94
286,1501220352.jpg,20001,31264742,440,19,438,35,330,135,251,155,1501220352.jpg,6.08
287,1501220402.jpg,20001,43793061,503,14,496,23,124,315,250,323,1501220402.jpg,7.94
288,1501220427.jpg,20001,37336457,420,5,474,6,304,255,232,232,1501220427.jpg,6.16
289,1501220520.jpg,20001,36431142,609,68,492,75,392,331,225,268,1501220520.jpg,6.3
290,1501220623.jpg,20001,34628290,417,9,478,7,292,283,226,215,1501220623.jpg,6.14
291,1501220684.jpg,20001,41628454,569,55,553,74,294,319,276,357,1501220684.jpg,7.4
292,1501220737.jpg,20001,41302223,556,40,527,59,310,341,310,314,1501220737.jpg,7.34
293,1501220747.jpg,20001,29648371,434,14,432,20,283,305,223,187,1501220747.jpg,5.72
294,1501220813.jpg,20001,40701173,516,22,528,46,291,376,278,288,1501220813.jpg,8.1
